"_defaultColorIndex","class","id","name","x","y"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0","1"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.01","1"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.02","0.994"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.03","0.994"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.04","0.992"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.051","0.988"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.061","0.983"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.071","0.979"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.081","0.976"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.091","0.973"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.101","0.97"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.111","0.966"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.121","0.963"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.131","0.958"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.141","0.952"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.152","0.947"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.162","0.943"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.172","0.937"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.182","0.931"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.192","0.926"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.202","0.92"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.212","0.913"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.222","0.908"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.232","0.902"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.242","0.894"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.253","0.888"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.263","0.882"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.273","0.874"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.283","0.866"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.293","0.857"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.303","0.847"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.313","0.836"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.323","0.824"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.333","0.814"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.343","0.802"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.354","0.791"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.364","0.779"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.374","0.768"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.384","0.754"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.394","0.741"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.404","0.726"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.414","0.713"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.424","0.697"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.434","0.681"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.444","0.665"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.455","0.649"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.465","0.633"
"10","mean","8cwjb5gh","yolo_val bolls CoCo","0.475","0.617"
