"_defaultColorIndex","class","id","name","x","y"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0","1"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.01","0.999"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.02","0.999"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.03","0.999"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.04","0.998"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.051","0.998"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.061","0.998"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.071","0.997"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.081","0.996"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.091","0.995"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.101","0.994"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.111","0.992"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.121","0.991"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.131","0.99"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.141","0.989"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.152","0.989"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.162","0.988"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.172","0.988"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.182","0.986"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.192","0.986"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.202","0.985"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.212","0.985"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.222","0.984"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.232","0.983"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.242","0.982"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.253","0.981"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.263","0.981"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.273","0.98"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.283","0.979"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.293","0.978"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.303","0.977"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.313","0.975"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.323","0.973"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.333","0.971"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.343","0.969"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.354","0.968"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.364","0.966"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.374","0.965"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.384","0.963"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.394","0.961"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.404","0.959"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.414","0.957"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.424","0.955"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.434","0.953"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.444","0.951"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.455","0.948"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.465","0.946"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.475","0.943"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.485","0.941"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.495","0.938"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.505","0.935"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.515","0.932"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.525","0.928"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.535","0.925"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.545","0.922"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.556","0.918"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.566","0.913"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.576","0.907"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.586","0.903"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.596","0.898"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.606","0.891"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.616","0.885"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.626","0.878"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.636","0.871"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.646","0.863"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.657","0.854"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.667","0.845"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.677","0.835"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.687","0.824"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.697","0.813"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.707","0.801"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.717","0.787"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.727","0.772"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.737","0.755"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.747","0.738"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.758","0.719"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.768","0.701"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.778","0.681"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.788","0.658"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.798","0.633"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.808","0.607"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.818","0.582"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.828","0.551"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.838","0.52"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.848","0.49"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.859","0.456"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.869","0.417"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.879","0.375"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.889","0.333"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.899","0.282"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.909","0.197"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.919","0.172"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.929","0.151"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.939","0.129"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.949","0.108"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.96","0.086"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.97","0.065"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.98","0.043"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.99","0.022"
"13","mean","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","1","0"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0","1"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.01","0.999"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.02","0.999"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.03","0.999"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.04","0.998"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.051","0.998"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.061","0.998"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.071","0.997"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.081","0.996"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.091","0.995"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.101","0.994"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.111","0.992"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.121","0.991"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.131","0.99"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.141","0.989"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.152","0.989"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.162","0.988"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.172","0.988"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.182","0.986"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.192","0.986"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.202","0.985"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.212","0.985"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.222","0.984"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.232","0.983"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.242","0.982"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.253","0.981"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.263","0.981"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.273","0.98"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.283","0.979"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.293","0.978"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.303","0.977"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.313","0.975"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.323","0.973"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.333","0.971"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.343","0.969"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.354","0.968"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.364","0.966"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.374","0.965"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.384","0.963"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.394","0.961"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.404","0.959"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.414","0.957"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.424","0.955"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.434","0.953"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.444","0.951"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.455","0.948"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.465","0.946"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.475","0.943"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.485","0.941"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.495","0.938"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.505","0.935"
"13","boll","tk2axrf0","yolo_val bolls MoCo 2-View Random No Aug","0.515","0.932"
