"_defaultColorIndex","class","id","name","x","y"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0","1"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.01","0.998"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.02","0.997"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.03","0.996"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.04","0.995"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.051","0.994"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.061","0.992"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.071","0.992"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.081","0.991"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.091","0.99"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.101","0.987"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.111","0.986"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.121","0.986"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.131","0.984"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.141","0.982"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.152","0.981"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.162","0.98"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.172","0.977"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.182","0.976"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.192","0.974"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.202","0.972"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.212","0.969"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.222","0.967"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.232","0.966"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.242","0.963"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.253","0.961"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.263","0.959"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.273","0.957"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.283","0.955"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.293","0.953"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.303","0.949"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.313","0.945"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.323","0.942"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.333","0.939"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.343","0.935"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.354","0.933"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.364","0.93"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.374","0.925"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.384","0.921"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.394","0.917"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.404","0.912"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.414","0.909"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.424","0.904"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.434","0.9"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.444","0.895"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.455","0.889"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.465","0.884"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.475","0.878"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.485","0.872"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.495","0.865"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.505","0.857"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.515","0.849"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.525","0.841"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.535","0.831"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.545","0.821"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.556","0.812"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.566","0.803"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.576","0.792"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.586","0.781"
"11","mean","ofnm29jv","yolo_val bolls MoCo vanilla","0.596","0.768"
