"_defaultColorIndex","class","id","name","x","y"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0","1"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.01","1"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.02","0.999"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.03","0.998"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.04","0.997"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.051","0.997"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.061","0.997"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.071","0.996"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.081","0.995"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.091","0.994"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.101","0.994"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.111","0.993"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.121","0.992"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.131","0.991"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.141","0.99"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.152","0.989"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.162","0.987"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.172","0.985"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.182","0.984"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.192","0.982"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.202","0.981"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.212","0.979"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.222","0.978"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.232","0.976"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.242","0.975"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.253","0.972"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.263","0.97"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.273","0.968"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.283","0.967"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.293","0.965"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.303","0.962"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.313","0.961"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.323","0.958"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.333","0.955"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.343","0.953"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.354","0.95"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.364","0.947"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.374","0.943"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.384","0.94"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.394","0.937"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.404","0.933"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.414","0.93"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.424","0.925"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.434","0.921"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.444","0.917"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.455","0.912"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.465","0.907"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.475","0.902"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.485","0.897"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.495","0.89"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.505","0.884"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.515","0.878"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.525","0.872"
"10","mean","r903vrrm","yolo_val SimCLR bolls vanilla","0.535","0.866"
